CODE,DECIMALS,ABBREV,FULL_NAME,UNITS,NARR,National_VMV_Code
160,0,CON 25,SPECIFIC CONDUCTANCE 25 DEG. C,USIEMENS,"SPECIFIC CONDUCTANCE MEASUREMENTS WERE PERFORMED BY USING A RADIOMETER TYPE CDM3 OR CDM2 CONDUCTIVITY METER.CONDUCTIVITY CELLS USED WERE RADIOMETER IMMERSION TYPE CDC 304, CDC 104 AND CDC 404. PHILBERT AND TRAVERSY, INLAND WATERS BRANCH, CCIW., BURLINGTON. 1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308. MICROSIEMENS REPLACES MICROMHOS AS THE SI UNIT FOR SPECIFIC CONDUCTANCE. FEB. 26,1976.",2041
200,0,T RES,"RESIDUE,TOTAL",MG/L,"TOTAL DISSOLVED AND SUSPENDED SOLIDS, GRAVIMETRIC. THE REMAINING RESIDUE, AFTER A VOLUME OF AN UNFILTERED SAMPLE IS EVAPORATED AND DRIED AT 105 C. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979",
201,0,F RES,"RESIDUE,FILTRABLE",MG/L,"TOTAL DISSOLVED SOLIDS GRAVIMETRIC. THE REMAINING RESIDUE AFTER A VOLUME OF A FILTERED SAMPLE (THROUGH GF/C FILTER) IS EVAPORATED AND DRIED AT 105 C. BEFORE 1971 RESIDUE WAS ENTERED TO 1 DEC. PLACE REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979",10451
202,0,NF RES,"RESIDUE,NON-FILTRABLE",MG/L,"TOTAL SUSPENDED SOLIDS, GRAVIMETRIC. THE RESIDUE RETAINED BY A GF/C FILTER AND DRIED TO A CONSTANT WEIGHT AT 105 C. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979 BEFORE 1971 RESIDUE WAS ENTERED TO 1 DECIMAL PLACE.",10401
203,0,T FIXR,"RESIDUE,TOTAL FIXED",MG/L,"TOTAL DISSOLVED AND SUSPENDED MINERALS(OR INORGANICS), GRAVIMETRIC. THE RESIDUE REMAINING IN A WEIGHTED DISH AFTER EVAPORATING AND DRYING AN UNFILTERED SAMPLE AT 550 C. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979",
204,0,F FIXR,"RESIDUE,FILTRABLE FIXED",MG/L,"TOTAL DISSOLVED MINERALS (OR INORGANICS), GRAVIMETRIC. THE REMAINING RESIDUE AFTER A VOLUME OF A FILTERED SAMPLE (THROUGH GF/C FILTER) IS EVAPORATED AND DRIED AT 550 C. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979",10551
205,0,NF FIXR,"RESIDUE,NON-FILTRABLE FIXED",MG/L,"TOTAL SUSPENDED MINERALS,(OTHERWISE KNOWN AS SUSPENDED INORGANIC. GRAVIMETRIC THE RESIDUE RETAINED BY A GF/C FILTER DRIED TO CONSTANT WEIGHT AT 550 C. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979",10501
206,3,%C,"CARBON,PERCENT",PERCENT,"SAMPLE IS TREATED WITH CONC. H2SO4, WASHED WITH DISTILLED WATER AND DRIED. DRIED SEDIMENT IS GROUND AND ANALYZED BY CHN ANALYSIS. DETECTION LIMIT 0.005%",
207,2,SIM,SUSPENDED INORGANIC MATERIAL,MG/L,"TOTAL DISSOLVED SOLIDS GRAVIMETRIC. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979",10451
208,1,I-SIM,"SUSPENDED INORGANIC MATERIAL,INTEGRATED",MG/L,"FROM INTEGRATED WATER SAMPLE OTHERWISE CALLED ,RESIDUE, FIXED NON-FILTERABLE. THE SAMPLE IS FILTERED THROUGH A PREWEIGHTED GF/C FILTER. (PRECOMBUSTED AT 500 C.) THE FILTER PLUS RESIDUE IS DRIED, COMBUSTED, AT 550 C, COOLED AND THEN WEIGHED. THE SUSPENDED INORGANIC MATERIAL IS CALCULATED FROM THE DIFFERENCES IN WEIGHTS.",10451
209,1,I-NF RES,"RESIDUE,NON-FILTRABLE,INTEGRATED",MG/L,FROM AN INTEGRATED WATER SAMPLE. THE RESIDUE RETAINED BY A GF/C FILTER AND DRIED TO CONSTANT WEIGHT AT 105 DEGREES CENTIGRADE.,10401
210,3,TIC,"CARBON,TOTAL INORGANIC",PPM,"SEDIMENT SAMPLE IS ANALYZED BY CHN ANALYZER SEPARATE ALIQUOT OF THE SAME SAMPLE IS TREATED WITH CONC. H2SO4, WASHED WITH DISTILLED WATER DRIED AND ANALYZED BY CHN ANALYZER. THE DIFFERENCE BETWEEN TREATED AND UNTREATED WILL BE TOTAL INORGANIC CARBON. DETECTION LIMIT IS .002 MG/L",
211,2,PH10,PH AT 10 DEGREES CENTIGRADE,PH UNITS,"PH MEASUREMENTS WERE MADE WITH RADIOMETER MODEL PHM52 DIGITAL READOUT PH METER EQUIPPED WITH RADIOMETER GENERAL PURPOSE SHIELDED GLASS AND POROUS PIN CALOMEL REFERENCE ELECTRODES. SAMPLES WERE MAINTAINED AT APPROX. 10 DEGREES C. BY ALLOWING TO STAND IN A WATER BATH. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979 PHILBERT AND TRAVERSY, INLAND WATERS BRANCH, CCIW., BURLINGTON. 1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308.",
212,2,I-PH,PH FROM INTEG. SAMPLE,PH UNITS,"PH MEASUREMENTS WERE MADE WITH A RADIOMETER MODEL PHM52 DIGITAL READOU PH METER EQUIPPED WITH RADIOMETER GENERAL PURPOSE SHIELDED GLASS AND POROUS PIN CALOMEL REFERENCE ELECTRODES. CORNING PH METER MODELS 10+12 WERE USED BEFORE 1970. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979 PHILBERT AND TRAVERSY, INLAND WATERS BRANCH, CCIW., BURLINGTON. 1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308.",98177
213,2,PH,PH,PH UNITS,"PH MEASUREMENTS WERE MADE WITH A RADIOMETER MODEL PHM52 DIGITAL READOU PH METER EQUIPPED WITH RADIOMETER GENERAL PURPOSE SHIELDED GLASS AND POROUS PIN CALOMEL REFERENCE ELECTRODES. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979 PHILBERT AND TRAVERSY, INLAND WATERS BRANCH, CCIW., BURLINGTON. 1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308. CHANGED FROM PH SITU TO PH 1975",98177
214,3,I-PH 25,PH AT 25 DEG. C INTEGRATED SAMPLE,PH UNITS,"PH OBTAINED FROM INTERGRATED SAMPLES AT 25 DEGREES CENTIGRADE. DIGITAL PH METER. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979",10301
215,3,PH 25,PH AT 25 DEG. C,PH UNITS,"DIGITAL PH METER. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979",10301
216,3,PH SITU,PH IN SITU,PH UNITS,"PH MEASUREMENTS WERE MADE WITH A RADIOMETER MODEL PHM52 DIGITAL READOUT PH METER EQUIPPED WITH RADIOMETER GENERAL PURPOSE SHIELDED GLASS AND POROUS PIN CALOMEL REFERENCE ELECTRODES. CORNING PH METER MODELS 10+12 WERE USED BEFORE 1970. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979 PHILBERT AND TRAVERSY, INLAND WATERS BRANCH, CCIW., BURLINGTON. 1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308.",98177
217,3,I-PH,PH IN SITU FROM INTEGRATED SAMPLE,PH UNITS,"PH OBTAINED FROM INTEGRATED SAMPLES. PH MEASUREMENTS WERE MADE WITH A RADIOMETER MODEL PHM52 DIGITAL READOUT PH METER EQUIPPED WITH A RADIO- METER GENERAL PURPOSE SHIELDED GLASS AND POROUS PIN CALOMEL REFERENCE ELECTRODES. CORNING PH METER MODELS 10+12 WERE USED BEFORE 1970. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979 PHILBERT AND TRAVERSY, INLAND WATERS BRANCH, CCIW., BURLINGTON. 1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308.",98177
218,1,PH TEMP,TEMPERATURE AT WHICH PH WAS MEASURED,DEG C,"REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979 PHILBERT AND TRAVERSY, INLAND WATERS BRANCH, CCIW., BURLINGTON. 1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308.",15238
219,1,TT ALK,"ALKALINITY,TOTAL TITROMETRIC",MG CACO3,"POTENTIOMETRIC TITRATION. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979",10101
220,1,ALKCO3,"ALKALINITY,NON-FILTRABLE, I.R.",MG CACO3,"THE INFRA RED DETECTION METHOD CAME INTO USE IN JUNE 1976. IF TURBID, THE SAMPLE IS ALLOWED TO SETTLE, THEN ANALYZED AS IN CODE 223. PRIOR TO JUNE 1976, THE COLORIMETRIC METHOD WAS USED. TOTAL ALKALINITY WAS MEASURED BY AUTO ANALYZER BUFFERED INDICATOR (METHYL-ORANGE) METHOD. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979 PHILBERT AND TRAVERSY, INLAND WATERS BRANCH, CCIW., BURLINGTON. 1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308.",10116
221,1,PT ALK,"ALKALINITY,PHENOLPHTHALEIN",MG CAC03,"POTENTIOMETRIC TITRATION TO PH 8.3. REF: ANALYTICAL METHODS MANUAL WATER QUALITY BRANCH,INLAND WATERS DIRECTORATE, OTTAWA.",10151
222,1,I-ALKCO3,"ALKALINITY,NON-FILTRABLE,I.R.,INTEG.",MG CACO3,FROM A UNFILTERED INTEGRATED SAMPLE.,
223,1,F ALKCO3,"ALKALINITY,FIL. I.R.",MG CACO3,"THE INFRA RED DETECTION METHOD CAME INTO USE IN JUNE 1976 THROUGH AN AUTO ANALYZER SYSTEM THE FILTERED SAMPLE IS MIXED WITH HCL, THEN OXYGEN. THE RESULTING CO2 IS SEPARATED FROM THE LIQUID PHASE AND DETERMINED IN AN I.R. DETECTOR. DETECTION LIMIT IS 2 MG/L. REF: P.D. GOULDEN, WATER RES. VOL. 10, P 487(1976) ANALYTICAL METHODS MANUAL, WATER QUALITY BRANCH, I.W.D. BEFORE JUNE 1976, THE COLORIMETRIC METHOD WAS USED. TOTAL ALKALINITY WAS MEASURED BY THE AUTO ANALYZER BUFFERED INDICATOR (METHYL-ORANGE) METHOD. SAMPLES WERE FIRST FILTERED THROUGH AN AUTOANALYZER 0.45 MICRON MEMBRANE FILTER. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979 PHILBERT AND TRAVERSY, INLAND WATERS BRANCH, CCIW., BURLINGTON. 1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308.",10106
224,1,IF-ALKC3,"ALKALINITY FIL. I.R.,INTEGRATED",MG CACO3,FROM A FILTERED INTEGRATED SAMPLE.,10106
