Hydstra code,Long name,Name,Analysis method (Short name),Unit short name
275,"2,3,7,8-TCDD (agent orange)",129_00_00_00_14,2325,WISKI_PGL
276,"Total 2,3,7,8-tetrachlorodibenzo-p-dioxin (tetra_CDD_total)",918_00_00_00_14,2325,WISKI_PGL
277,Total_penta_CDD,919_00_00_00_14,2325,WISKI_PGL
278,Total_hexa_CDD,920_00_00_00_14,2325,WISKI_PGL
279,Total_hepta_CDD,921_00_00_00_14,2325,WISKI_PGL
280,Octa_CDD,922_00_00_00_14,2325,WISKI_PGL
8150,Octa_CDD,922_00_00_00_14,1436,WISKI_PGL
10736,Octa_CDD,922_00_00_00_14,844,WISKI_PGL
13907,Octa_CDD,922_00_00_00_14,4405,WISKI_PGL
13908,"2,3,7,8-TCDF",923_00_00_00_14,4405,WISKI_PGL
10737,"2,3,7,8-TCDF",923_00_00_00_14,844,WISKI_PGL
8119,"2,3,7,8-TCDF",923_00_00_00_14,1436,WISKI_PGL
281,"2,3,7,8-TCDF",923_00_00_00_14,2325,WISKI_PGL
282,Total_tetra_CDF,924_00_00_00_14,2325,WISKI_PGL
283,Total_penta_CDF,925_00_00_00_14,2325,WISKI_PGL
284,Total_hexa_CDF,926_00_00_00_14,2325,WISKI_PGL
285,Total_hepta_CDF,927_00_00_00_14,2325,WISKI_PGL
286,Octa_CDF,928_00_00_00_14,2325,WISKI_PGL
8153,Octa_CDF,928_00_00_00_14,1436,WISKI_PGL
10747,Octa_CDF,928_00_00_00_14,844,WISKI_PGL
13918,Octa_CDF,928_00_00_00_14,4405,WISKI_PGL
8734,Endrin aldehyde,269_00_00_01_02,715,WISKI_NGG
102515,Endrin aldehyde,269_00_00_01_02,2880,WISKI_NGG
287,Endrin aldehyde,269_00_00_01_02,2302,WISKI_NGG
943,Endrin aldehyde,269_00_00_01_02,223,WISKI_NGG
13577,Endrin aldehyde,269_00_00_01_02,4389,WISKI_NGG
59836,Endrin aldehyde,269_00_00_01_02,4261,MIGG
13586,Hexachlorocyclopentadiene,282_00_00_01_02,4389,WISKI_NGG
288,Hexachlorocyclopentadiene,282_00_00_01_02,2302,WISKI_NGG
6127,Hexachlorocyclopentadiene,282_00_00_01_02,674,WISKI_NGG
102516,Hexachlorocyclopentadiene,282_00_00_01_02,2880,WISKI_NGG
39756,Hexachlorocyclopentadiene,282_00_00_01_02,3223,WISKI_NGG
108598,Hexachlorocyclopentadiene,282_00_00_01_02,4205,WISKI_NGG
102517,Photomirex,194_00_00_01_02,2880,WISKI_NGG
289,Photomirex,194_00_00_01_02,2302,WISKI_NGG
290,Naphthalene,312_00_00_01_02,2303,WISKI_NGG
496,Naphthalene,312_00_00_01_02,200,MIGG
59864,Naphthalene,312_00_00_01_02,4261,UGKG
1517,Naphthalene,312_00_00_01_02,4208,WISKI_NGG
6639,Naphthalene,312_00_00_01_02,674,WISKI_NGG
7737,Naphthalene,312_00_00_01_02,693,MIGG
102543,Naphthalene,312_00_00_01_02,2880,WISKI_NGG
101297,Naphthalene,312_00_00_01_02,2782,MIGG
102265,Naphthalene,312_00_00_01_02,2869,WISKI_NGG
49373,Naphthalene,312_00_00_01_02,3222,WISKI_NGG
108538,Naphthalene,312_00_00_01_02,4204,WISKI_NGG
15467,Naphthalene,312_00_00_01_02,4447,WISKI_NGG
108539,2-methylnaphthalene,314_00_00_01_02,4204,WISKI_NGG
49379,2-methylnaphthalene,314_00_00_01_02,3222,WISKI_NGG
18946,2-methylnaphthalene,314_00_00_01_02,918,MIGG
102266,2-methylnaphthalene,314_00_00_01_02,2869,WISKI_NGG
102544,2-methylnaphthalene,314_00_00_01_02,2880,WISKI_NGG
96552,2-methylnaphthalene,314_00_00_01_02,2065,WISKI_NGG
6650,2-methylnaphthalene,314_00_00_01_02,674,WISKI_NGG
1518,2-methylnaphthalene,314_00_00_01_02,4208,WISKI_NGG
291,2-methylnaphthalene,314_00_00_01_02,2303,WISKI_NGG
292,1-methylnaphthalene,311_00_00_01_02,2303,WISKI_NGG
1519,1-methylnaphthalene,311_00_00_01_02,4208,WISKI_NGG
6644,1-methylnaphthalene,311_00_00_01_02,674,WISKI_NGG
96553,1-methylnaphthalene,311_00_00_01_02,2065,WISKI_NGG
102545,1-methylnaphthalene,311_00_00_01_02,2880,WISKI_NGG
102267,1-methylnaphthalene,311_00_00_01_02,2869,WISKI_NGG
18944,1-methylnaphthalene,311_00_00_01_02,918,MIGG
49383,1-methylnaphthalene,311_00_00_01_02,3222,WISKI_NGG
108540,1-methylnaphthalene,311_00_00_01_02,4204,WISKI_NGG
108541,2-chloronaphthalene,315_00_00_01_02,4204,WISKI_NGG
49380,2-chloronaphthalene,315_00_00_01_02,3222,WISKI_NGG
18948,2-chloronaphthalene,315_00_00_01_02,918,MIGG
102268,2-chloronaphthalene,315_00_00_01_02,2869,WISKI_NGG
102546,2-chloronaphthalene,315_00_00_01_02,2880,WISKI_NGG
96554,2-chloronaphthalene,315_00_00_01_02,2065,WISKI_NGG
6648,2-chloronaphthalene,315_00_00_01_02,674,WISKI_NGG
293,2-chloronaphthalene,315_00_00_01_02,2303,WISKI_NGG
294,Acenaphthylene,148_00_00_01_02,2303,WISKI_NGG
470,Acenaphthylene,148_00_00_01_02,200,MIGG
1530,Acenaphthylene,148_00_00_01_02,4208,WISKI_NGG
6622,Acenaphthylene,148_00_00_01_02,674,WISKI_NGG
7724,Acenaphthylene,148_00_00_01_02,693,MIGG
96555,Acenaphthylene,148_00_00_01_02,2065,WISKI_NGG
102547,Acenaphthylene,148_00_00_01_02,2880,WISKI_NGG
102269,Acenaphthylene,148_00_00_01_02,2869,WISKI_NGG
101302,Acenaphthylene,148_00_00_01_02,2782,MIGG
48855,Acenaphthylene,148_00_00_01_02,3222,WISKI_NGG
108544,Acenaphthylene,148_00_00_01_02,4204,WISKI_NGG
15456,Acenaphthylene,148_00_00_01_02,4447,WISKI_NGG
59853,Acenaphthylene,148_00_00_01_02,4261,UGKG
15466,Fluorene,303_00_00_01_02,4447,WISKI_NGG
108547,Fluorene,303_00_00_01_02,4204,WISKI_NGG
48861,Fluorene,303_00_00_01_02,3222,WISKI_NGG
18931,Fluorene,303_00_00_01_02,1007,MIGG
101305,Fluorene,303_00_00_01_02,2782,MIGG
102271,Fluorene,303_00_00_01_02,2869,WISKI_NGG
102548,Fluorene,303_00_00_01_02,2880,WISKI_NGG
96557,Fluorene,303_00_00_01_02,2065,WISKI_NGG
7735,Fluorene,303_00_00_01_02,693,MIGG
6636,Fluorene,303_00_00_01_02,674,WISKI_NGG
1533,Fluorene,303_00_00_01_02,4208,WISKI_NGG
59862,Fluorene,303_00_00_01_02,4261,UGKG
295,Fluorene,303_00_00_01_02,2303,WISKI_NGG
492,Fluorene,303_00_00_01_02,200,MIGG
296,Phenanthrene,299_00_00_01_02,2303,WISKI_NGG
500,Phenanthrene,299_00_00_01_02,200,MIGG
1534,Phenanthrene,299_00_00_01_02,4208,WISKI_NGG
6640,Phenanthrene,299_00_00_01_02,674,WISKI_NGG
7739,Phenanthrene,299_00_00_01_02,693,MIGG
96558,Phenanthrene,299_00_00_01_02,2065,WISKI_NGG
102549,Phenanthrene,299_00_00_01_02,2880,WISKI_NGG
102272,Phenanthrene,299_00_00_01_02,2869,WISKI_NGG
101306,Phenanthrene,299_00_00_01_02,2782,MIGG
18956,Phenanthrene,299_00_00_01_02,918,MIGG
48860,Phenanthrene,299_00_00_01_02,3222,WISKI_NGG
108548,Phenanthrene,299_00_00_01_02,4204,WISKI_NGG
15462,Phenanthrene,299_00_00_01_02,4447,WISKI_NGG
59865,Phenanthrene,299_00_00_01_02,4261,UGKG
15446,p-naphthalene,93_00_00_01_02,4447,WISKI_NGG
108549,p-naphthalene,93_00_00_01_02,4204,WISKI_NGG
101307,p-naphthalene,93_00_00_01_02,2782,MIGG
100405,p-naphthalene,93_00_00_01_02,991,MIGG
102273,p-naphthalene,93_00_00_01_02,2869,WISKI_NGG
102550,p-naphthalene,93_00_00_01_02,2880,WISKI_NGG
7725,p-naphthalene,93_00_00_01_02,693,MIGG
6623,p-naphthalene,93_00_00_01_02,674,WISKI_NGG
1535,p-naphthalene,93_00_00_01_02,4208,WISKI_NGG
297,p-naphthalene,93_00_00_01_02,2303,WISKI_NGG
298,"Indeno(1,2,3-c,d)pyrene",140_00_00_01_02,2303,WISKI_NGG
494,"Indeno(1,2,3-c,d)pyrene",140_00_00_01_02,200,MIGG
1562,"Indeno(1,2,3-c,d)pyrene",140_00_00_01_02,4208,WISKI_NGG
59863,"Indeno(1,2,3-c,d)pyrene",140_00_00_01_02,4261,UGKG
